"filename", "language", "CMake", "C++", "Dart", "Markdown", "YAML", "Ruby", "JSON", "Groovy", "Properties", "XML", "HTML", "Swift", "comment", "blank", "total"
"/Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/lib/screens/onboarding/onboarding_steps/basic_info.dart", "Dart", 0, 0, 124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 6, 177
"/Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/lib/screens/onboarding/onboarding_steps/challenges_support.dart", "Dart", 0, 0, 124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 134
"/Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/lib/screens/onboarding/onboarding_steps/dietary_preferences.dart", "Dart", 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 102
"/Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/lib/screens/onboarding/onboarding_steps/fitness_preferences.dart", "Dart", 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 74
"/Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/lib/screens/onboarding/onboarding_steps/health_goals.dart", "Dart", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 55
"/Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/lib/screens/onboarding/signUp_page.dart", "Dart", 0, 0, 241, 0, 0, 0, 0, 0, 0, 0, 0, 0, 227, 11, 479
"/Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/lib/screens/onboarding/welcome_page.dart", "Dart", 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 105
"/Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/lib/widgets.dart", "Dart", 0, 0, 572, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 621
"/Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/linux/CMakeLists.txt", "CMake", 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 129
"/Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/linux/flutter/CMakeLists.txt", "CMake", 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 89
"/Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/linux/flutter/generated_plugin_registrant.cc", "C++", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
